Timestamp,Which town/municipality do you live in?,How many food retailers are in your town?,How far from your household is the nearest food retailer?,How many times per week does your household do groceries?,At which of the following food retailers have you purchased in the last 3 months?,Does your town of residence have locally-owned grocery store?,What is missing in your current local store experience that you would like to see?,"What would help resolve some of the pain points that you mentioned? 
What would be the best solution in an ideal world?","Where do you purchase fresh food such as vegetables, fruits, milk, eggs, etc.?","How far do you travel to purchase fresh food such as vegetables, fruits, milk, eggs, etc.?",How popular is the locally-owned independent store(s) in your town?,"How would you compare the prices at the locally-owned independent store to the national brands, such as Kroger?",How often do you shop at your locally-owned food retailer?,"If your town had a healthy food alternative to a dollar store, assuming the prices were reasonable, how likely would you shop there?","Due to the small market, products at local grocery store have to be sold in smaller packages compared to Costco or Walmart. How does this impact your decision to shop there?",Is there anything else which you could tell us about your local grocery store?,Did you have a locally-owned grocery store in the past?,Why was this store closed? (you can pick more than 1),How much do you want a grocery store with basic fresh products in your town?,"If your town had a local fresh grocery store, how would it impact your grocery shopping?","If your town had a healthy food alternative to a dollar store, assuming the prices were reasonable, how likely would you shop there?","Due to the small market, products at local grocery store have to be sold in smaller packages compared to Costco or Walmart. How does this impact your decision to shop there?",How much does your household spend on groceries every month? (on average),What are the top 3 products you consume the most in your household (in a monetary terms)? 
1/13/2023 17:24:42,Plymouth,4,Less than 3 miles,3-4 times per week,"Dollar General/Dollar Tree, Walmart, Costco, Martin's, Kroger",No,More fresh fish,,National grocery chain,Between 5 and 10 miles,,,,,,,Yes,Competition from other national brand,5,Would shop such store first,4,2,$0-$250,"Bread/bakery, Dairy, Meat"
1/13/2023 17:58:10,"Knox, Indiana",5+,Between 3 miles and 5 miles,1-2 times per week,"Dollar General/Dollar Tree, Walmart, Local grocery store, Family Dollar, 5 Star, Save-A-Lot",Maybe,unsure,unsure,"Local grocery and local farmer, and raise some",Between 3 miles and 5 miles,,,,,,,,,,,,,$0-$250,"Bread/bakery, Dairy, Meat"
1/13/2023 18:33:45,Plymouth,5+,Between 3 miles and 5 miles,1-2 times per week,"Walmart, Costco",Yes,More variety,If retailers offered different products (brands) than the other retailers in the area,National grocery chain,Between 3 miles and 5 miles,1,4,1,,,"It's not conveniently local in proximity to the chain stores, so I can't easily get produce at the local store and other products at the chain store without going out of my way",,,,,,,$501-$750,"Non-alcoholic beverage, Meat, Cleaners"
1/13/2023 18:49:24,Knox ,3,Between 5 and 10 miles,1-2 times per week,"Walmart, Kroger, Local grocery store",Yes,Five Star has most of the items we use and need ,Delivery service ,Local grocery store,Between 15 and 20 miles,5,2,4,,,Has great meat,,,,,,,$501-$750,"Dairy, Non-alcoholic beverage, Meat"
1/13/2023 19:31:50,Aldine,1,Between 3 miles and 5 miles,1-2 times per week,"Dollar General/Dollar Tree, Local grocery store, Aldis",Maybe,Nothing,We don't have any pain points. ,Local grocery store,Between 5 and 10 miles,,,,,,,,,,,,,$251-$500,"Canned food, Dairy, Meat"
1/13/2023 22:07:38,Plymouth,5+,Between 3 miles and 5 miles,1-2 times per week,"Dollar General/Dollar Tree, Walmart, Costco, Martin's, Kroger, Meijer",No,Better seafood selections and better produce,Whole Foods in Plymouth,Local grocery store,Between 5 and 10 miles,,,,,,,Yes,Lived in different city than current city.  No idea why local stores have closed.  ,5,I would add this store to ones I frequent.,5,1,$251-$500,"Bread/bakery, Dairy, Meat"
1/14/2023 10:51:37,Mishawaka,5+,Less than 3 miles,1-2 times per week,"Dollar General/Dollar Tree, Walmart, Martin's, Meijer, Fresh Thyme",Maybe,Nothing,,National grocery chain,Less than 3 miles,,,,,,,,,,,,,$251-$500,"Frozen foods, Meat, Dry/baking goods"
1/14/2023 11:05:31,Knox,3,Between 5 and 10 miles,1-2 times per week,"Dollar General/Dollar Tree, Local grocery store",Yes,Fresh produce and non GMO choices,More options for purchasing.  More CSA and market opportunities.,Local grocery store,Between 5 and 10 miles,3,4,4,,,Freshness is lacking.,,,,,,,$251-$500,"Dairy, Meat, Dry/baking goods"
1/14/2023 21:15:50,Plymouth,5+,Less than 3 miles,1-2 times per week,"Walmart, Martin's, Meijer",Yes,more ethnic foods,,Local grocery store,Less than 3 miles,3,3,4,,,needs upgrade,,,,,,,$751-$1000,"Bread/bakery, Dairy, Meat"
1/16/2023 7:19:36,Warsaw,5+,Less than 3 miles,3-4 times per week,"Walmart, Martin's, Meijer, Aldi ",Yes,More Natural Food selection,Whole Foods coming to Warsaw,National grocery chain,Less than 3 miles,4,4,1,,,,,,,,,,$1001-$1250,"Dairy, Frozen foods, Meat"
1/16/2023 8:35:05,"Ligonier, IN",3,Less than 3 miles,1-2 times per week,"Dollar General/Dollar Tree, Walmart, Kroger, Aldi in Goshen, IN & Sav-U-More in Churubusco, IN",No,Not a nice variety of healthy foods or meat,To have an Aldi or Martin's in Ligonier,"Various; Aldi, Kroger and in the summer at the local farmers market. I also have a garden and grow many of my own vegetables.",More than 20 miles,,,,,,,Yes,Competition from other national brand,5,I would pay a little more to save time driving 20-30 minutes each way to a store with better offerings. ,5,1,$751-$1000,"Non-alcoholic beverage, Frozen foods, Meat"
1/16/2023 9:39:21,"Plymouth, IN",5+,Less than 3 miles,1-2 times per week,"Dollar General/Dollar Tree, Walmart, Martin's, Kroger",Yes,N/A,N/A,Local grocery store,Less than 3 miles,4,3,4,,,N/A,,,,,,,$251-$500,"Alcoholic Beverages, Frozen foods, Meat"
1/16/2023 10:14:02,Plymouth,5+,Less than 3 miles,1-2 times per week,"Martin's, Kroger, Aldi",Yes,Better walkable/bikeable access to grocery stores,Safer sidewalks and trails to access grocery store locations,National grocery chain,Less than 3 miles,2,3,1,,,"The only locally owned grocery is a specialty Mexican grocery store. It's great for certain items, but has very limited selection of staples.",,,,,,,$751-$1000,Canned food
1/16/2023 10:36:46,"knox, indiana",4,Less than 3 miles,1-2 times per week,"Walmart, Meijer",Yes,seems that the groceries offered are close to expiration. and high prices  Five star,"maybe we need a national brand store, can't get everything from dollar store",National grocery chain,More than 20 miles,2,5,1,,,not fresh food!!!!!!!!!!!!,,,,,,,$251-$500,"Bread/bakery, Frozen foods, Meat"
1/16/2023 11:20:28,North Liberty,2,Between 3 miles and 5 miles,1-2 times per week,"Costco, Meijer",Yes,Fresh fruit and vegetables,Using food from local farmers,National grocery chain,More than 20 miles,3,3,3,,,They have limited stock.,,,,,,,$501-$750,"Meat, Dry/baking goods, Personal care"
1/16/2023 12:31:12,Plymouth,5+,Less than 3 miles,1-2 times per week,"Dollar General/Dollar Tree, Walmart, Martin's, Kroger, Local grocery store",Yes,Nothing,,National grocery chain,Less than 3 miles,1,4,2,,,,,,,,,,$501-$750,"Non-alcoholic beverage, Meat, Cleaners"
1/16/2023 12:58:30,Plymouth,5+,Less than 3 miles,1-2 times per week,"Walmart, Kroger",Yes,N/A,,National grocery chain,Less than 3 miles,2,4,1,,,,,,,,,,$0-$250,"Bread/bakery, Canned food, Dairy"
1/16/2023 15:55:16,Plymouth,5+,Between 5 and 10 miles,1-2 times per week,"Walmart, Kroger",No,Variety,"I hate going to more than 1 place, but can never get everything needed at one place. ",National grocery chain,Between 5 and 10 miles,,,,,,,No,No idea,1,It wouldn’t. ,2,4,$751-$1000,"Bread/bakery, Dairy, Dry/baking goods"
1/16/2023 17:58:30,"North Judson, IN",2,Less than 3 miles,1-2 times per week,"Dollar General/Dollar Tree, Kroger, Meijer, Local grocery store",Yes,"More low sugar options, more fresh produce",A full service grocery store with healthy options,Regional grocery chain (usually Meijers or Strack & Van Til),More than 20 miles,3,3,3,,,"Products such as plain yogurt, different cheeses, etc. are limited",,,,,,,$251-$500,"Dairy, Meat, Personal care"
1/16/2023 19:20:29,"Warsaw, IN",5+,Less than 3 miles,1-2 times per week,"Kroger, Meijer",Maybe,Nothing I can think of,N/A,National grocery chain,Less than 3 miles,,,,,,,,,,,,,$751-$1000,"Meat, Personal care, Cleaners"
1/16/2023 19:50:50,Plymouth,5+,Between 5 and 10 miles,1-2 times per week,"Walmart, Martin's, Kroger, Aldi",Maybe,no idea,no idea,National grocery chain,Between 5 and 10 miles,,,,,,,,,,,,,$251-$500,"Bread/bakery, Dairy, Meat"
1/17/2023 6:49:26,Ligonier,5+,Less than 3 miles,1-2 times per week,"Walmart, Kroger, Local grocery store, Aldi",Yes,"Variety, fresh produce, stock",The local grocery stores are ethnic mexican stores. Need larger chain to create some competition to lower prices.,National grocery chain,Between 15 and 20 miles,3,2,2,,,"They are ethnic type stores, selection is limited",,,,,,,$251-$500,"Bread/bakery, Meat, Personal care"
1/17/2023 7:44:15,Lakeville IN.,1,Between 5 and 10 miles,1-2 times per week,"Walmart, Martin's, Kroger",No,Fresh produce and meat.,Having a local grocery store. I drive seven miles to get groceries.,National grocery chain,Between 5 and 10 miles,,,,,,,Yes,Competition from other national brand,5,I wouldn't have to drive so far for groceries.,5,5,$251-$500,"Bread/bakery, Canned food, Meat"
1/17/2023 8:16:50,Lakeville,1,Less than 3 miles,1-2 times per week,"Walmart, Martin's, Meijer",No,fresh vegetables,small grocery store,Martins and eggs at a local farmer,Between 5 and 10 miles,,,,,,,Yes,"High energy bills, family retired",3,I'd stay in my small town,4,1,$0-$250,"Dairy, Non-alcoholic beverage, Meat"
1/17/2023 8:49:20,Plymouth,4,Between 3 miles and 5 miles,1-2 times per week,"Dollar General/Dollar Tree, Walmart, Martin's, Kroger",Yes,"Target - upper middle class options for food, cleaning supplies, clothing, etc",Building a Target,National grocery chain,Between 3 miles and 5 miles,4,4,3,,,They (Martin's) have less options than Walmart & Kroger,,,,,,,$251-$500,"Dairy, Frozen foods, Meat"
1/17/2023 10:02:50,Plymouth,5+,Less than 3 miles,1-2 times per week,"Walmart, Costco, Martin's, Kroger",Yes,Nothing,,National grocery chain,Less than 3 miles,3,2,2,,,It is a small hispanic store,,,,,,,$0-$250,"Bread/bakery, Frozen foods, Meat"
1/17/2023 13:55:55,"Ligonier, IN",5+,Less than 3 miles,3-4 times per week,"Dollar General/Dollar Tree, Walmart, Costco, Martin's, Kroger, Meijer, Local grocery store",Yes,Organic Dairy,,Local grocery store,Between 3 miles and 5 miles,4,4,3,,,,,,,,,,$251-$500,"Dairy, Frozen foods, Meat"
1/17/2023 18:31:06,Plymouth ,5+,Less than 3 miles,1-2 times per week,"Dollar General/Dollar Tree, Walmart, Martin's, Kroger",No,Samples to try new food ,The ability to sample foods like you can at Costco and Sam's Club ,National grocery chain,Less than 3 miles,,,,,,,No,,4,"If it were products from local farmers, I would shop there first but ultimately, it would come down to price effectiveness. ",4,4,$251-$500,"Bread/bakery, Dairy, Meat"
1/18/2023 16:22:42,Culver,4,Less than 3 miles,1-2 times per week,"Dollar General/Dollar Tree, Walmart, Costco, Kroger, Local grocery store, CVS",Yes,nothing,nothing,Local grocery store,Between 15 and 20 miles,5,4,4,,,They do a great job of meeting community needs,,,,,,,$251-$500,"Dairy, Frozen foods, Meat"
1/18/2023 16:42:01,Culver,3,Less than 3 miles,1-2 times per week,"Walmart, Local grocery store, Farmer's Market",Yes,Local produce and less produce going bad / left on shelf,Ability for the store to buy product at major-retailer rates,"Nation grocery chain, Local Farmer Produce at farmer's market when in-season.",Between 15 and 20 miles,5,5,3,,,It has been there a very long time and is super convenient for odds and ends when I don't want to drive 25 minutes to the next town's Kroger/Walmart,,,,,,,$501-$750,"Alcoholic Beverages, Frozen foods, Produce"
1/18/2023 16:45:28,Culver,3,Less than 3 miles,1-2 times per week,"Dollar General/Dollar Tree, Walmart, Martin's, Kroger, Local grocery store",Yes,"Prices are higher on many items, due to smaller store",unsure,Local grocery store,Less than 3 miles,4,4,4,,,"During Covid, they did a great job keeping stocked",,,,,,,$251-$500,"Dairy, Non-alcoholic beverage, Meat"
1/19/2023 8:28:22,Lakeville Indiana,1,Between 5 and 10 miles,1-2 times per week,"Dollar General/Dollar Tree, Martin's, Meijer",No,too far away Meijer is 1close to 13 miles away the others are 10 miles,a local grocery store,National grocery chain,Between 5 and 10 miles,,,,,,,Yes,Competition from other national brand,5,would change my life,5,1,$251-$500,"Bread/bakery, Meat, Produce"
1/19/2023 8:31:09,Lapaz(closest),2,Between 3 miles and 5 miles,1-2 times per week,"Dollar General/Dollar Tree, Walmart, Martin's, Kroger, Aldi",Yes,full service grocery store(not convenience type)),A regular full service grocery store in our town,National grocery chain,Between 5 and 10 miles,4,4,2,,,very small market-limited choices,,,,,,,$0-$250,"Dairy, Meat, Produce"
1/19/2023 8:35:15,Orland,2,Less than 3 miles,1-2 times per week,"Dollar General/Dollar Tree, Martin's, Kroger, Meijer",Yes,Variety,Bigger store ,National grocery chain,Between 15 and 20 miles,3,5,1,,,Small,,,,,,,$1001-$1250,"Dairy, Frozen foods, Meat"
1/19/2023 8:45:19,Wolcottville,2,Between 3 miles and 5 miles,1-2 times per week,"Dollar General/Dollar Tree, Meijer, Local grocery store, Rabers Discount Grocery",Yes,More fresh produce.,,Local grocery store,Between 3 miles and 5 miles,3,3,5,,,I like our local store.  They tend to be more expensive but their weekly specials tend to be cheaper than the national chains.  Using their various loyalty programs I feel they are competitive.,,,,,,,$501-$750,"Bread/bakery, Meat, Produce"
1/19/2023 10:00:44,"Lakeville, IN",1,Less than 3 miles,1-2 times per week,"Dollar General/Dollar Tree, Walmart, Martin's, Meijer, Trader Joe's",No,Fresh vegetables,Fruit and vegetable stand,Local grocery store,Between 5 and 10 miles,,,,,,,Yes,"High wage costs, Competition from other national brand",2,I would shop there once per week if they had evening hours,4,1,$501-$750,"Dairy, Non-alcoholic beverage, Alcoholic Beverages"
1/19/2023 13:37:07,Lagrange,2,Between 3 miles and 5 miles,1-2 times per week,"Dollar General/Dollar Tree, Walmart, Meijer, Local grocery store",Yes,greater variety of fresh foods,groceries are incredibly expensive,National grocery chain,Between 5 and 10 miles,4,3,3,,,"excellent meat, frequent sales",,,,,,,$0-$250,"Meat, Cleaners, Produce"
1/19/2023 16:22:59,"Converse, IN",1,Between 3 miles and 5 miles,1-2 times per week,"Dollar General/Dollar Tree, Walmart, Kroger, Meijer, Local grocery store",No,"More fresh produce options, any kind of meat options",Access to different types of stores or for chains such as dollar general to expand options for fresh produce and meat. ,National grocery chain,Between 15 and 20 miles,,,,,,,Yes,"High wage costs, Competition from a dollar store, Building had roof collapse and was unable to reopen d/t renovation costs ",5,I would shop there for the majority of my groceries ,5,1,$501-$750,"Bread/bakery, Frozen foods, Meat"
1/19/2023 16:27:07,Converse,1,Between 5 and 10 miles,1-2 times per week,"Dollar General/Dollar Tree, Walmart, Meijer",No,Grocery store,A place that sells produce,National grocery chain,Between 15 and 20 miles,,,,,,,Yes,Poor building maintenence,5,I would frequent the place often,5,3,$0-$250,"Dairy, Meat, Produce"
1/19/2023 16:45:46,"North Manchester, IN",2,Less than 3 miles,1-2 times per week,"Dollar General/Dollar Tree, Walmart, Kroger, Meijer, Local grocery store, Sams",Yes,Variety and better sales on items,,National grocery chain,Between 15 and 20 miles,3,5,3,,,,,,,,,,$251-$500,"Bread/bakery, Dairy, Meat"
1/19/2023 17:09:22,North Liberty ,2,Between 5 and 10 miles,1-2 times per week,"Dollar General/Dollar Tree, Walmart, Costco, Martin's, Meijer, Local grocery store",Yes,More produce,,National grocery chain,Between 5 and 10 miles,5,5,1,,,,,,,,,,$1001-$1250,"Bread/bakery, Dairy, Produce"
1/20/2023 7:02:26,Ligonier,5+,Between 3 miles and 5 miles,1-2 times per week,"Kroger, Meijer, Aldi",Yes,"There is a stark lack of variety of foods, save for the latino stores, except their variety is restricted to their ethnicity.",It would be amazing to have an Aldi in town or just a larger grocery store with better selection.,National grocery chain,More than 20 miles,3,3,1,,,"Only the latino stores are independent. Their foreign style (processes, standards, selection, decor, etc.) and strict focus toward the latino community makes me feel uncomfortable to shop there.",,,,,,,$0-$250,"Dairy, Meat, Produce"
1/20/2023 9:54:07,Pierceton,1,Between 3 miles and 5 miles,1-2 times per week,"Dollar General/Dollar Tree, Walmart, Costco, Martin's, Kroger, Meijer, Local grocery store",No,"Actually, it was recently renovated to now include fresh produce and a bigger selection of groceries, which was a great improvement from the past.",N/A,National grocery chain,Between 5 and 10 miles,,,,,,,No,,4,Would support it weekly.,5,5,$501-$750,"Dairy, Meat, Produce"
1/20/2023 11:19:27,Putnam County,5+,Less than 3 miles,1-2 times per week,"Walmart, Kroger",Yes,Better fresh sushi,,National grocery chain,Less than 3 miles,4,4,2,,,,,,,,,,$1001-$1250,"Bread/bakery, Dairy, Meat"
1/20/2023 13:02:58,Remington,2,Less than 3 miles,1-2 times per week,"Dollar General/Dollar Tree, Local grocery store",Yes,Nothing,N/a,Local grocery store,Less than 3 miles,5,4,4,5,1,No,,,,,,,$751-$1000,"Dairy, Meat, Produce"
1/20/2023 16:28:02,Burlington IN,1,Less than 3 miles,1-2 times per week,"Dollar General/Dollar Tree, Walmart, Meijer",No,Only availability is Dollar General. Hours are limited ,"More people would meal plan, shop on a budget and grow their own food as much as possible",National grocery chain,Between 15 and 20 miles,,,,,,,Yes,No idea,1,Wouldn’t have to drive to Kokomo,4,4,$0-$250,"Bread/bakery, Meat, Dry/baking goods"
1/21/2023 11:08:53,"Chalmers, Indiana",1,Between 5 and 10 miles,1-2 times per week,"Dollar General/Dollar Tree, Meijer",No,produce and meats,There is no store at all in Chalmers. Having at least a convenience store would help.,National grocery chain,More than 20 miles,,,,,,,No,,5,I'd save a lot of gas and time. A grocery run takes about 3-4 hours including one hour of driving.,5,1,$251-$500,"Meat, Dry/baking goods, Produce"
1/23/2023 9:33:44,Lakeville,1,Less than 3 miles,1-2 times per week,"Dollar General/Dollar Tree, Walmart, Costco",No,Fresh Produce,,National grocery chain,Between 10 and 15 miles,,,,,,,Yes,Competition from other national brand,5,Yes,5,3,$0-$250,"Meat, Personal care, Produce"
1/23/2023 14:14:01,Morocco,2,Less than 3 miles,1-2 times per week,"Dollar General/Dollar Tree, Local grocery store",No,"An actual grocery store and not a dollar store with crap selection for ""Food""","Get an actual grocery store, or at least a dollar store with fresh produce",Local grocery store,More than 20 miles,,,,,,,Yes,"Was bought and then mysteriously ""Caught Fire"" and got insurance money and never rebuilt.",5,Make it much easier to just get what we need and not have to get everything for a week or two. Cheaper and save money which means more food. ,5,1,$501-$750,"Dairy, Meat, Produce"
1/23/2023 15:01:36,Koontz Lake/Walkeron (Starke County side),1,Less than 3 miles,1-2 times per week,"Dollar General/Dollar Tree, Walmart, Costco, Kroger, Meijer, Aldi",No,"The local Dollar General does not have fresh produce. Nor do any of the other Dollar Generals in nearby towns. We have to drive to Plymouth, South Bend, LaPorte, Valpo to get produce.","Either expanded Dollar General, or another grocery store. ",Dollar General (local) and Walmart. We raise chickens so we do no purchase eggs regularly.,Between 10 and 15 miles,,,,,,,Yes,"Competition from a dollar store, Covid",5,It would be so much more convenient. It would save me money because I wouldn't have to drive into town to get our basics.,5,1,$251-$500,"Dairy, Frozen foods, Produce"
1/23/2023 15:45:08,Wakarusa,2,Between 3 miles and 5 miles,3-4 times per week,"Dollar General/Dollar Tree, Costco, Martin's, Local grocery store",Yes,Fresh Meat only available two days a week,Open 7 days a week,National grocery chain,Between 5 and 10 miles,4,3,2,3,1,Grateful to have the option to shop there.,,,,,,,$501-$750,"Dairy, Frozen foods, Dry/baking goods"
1/23/2023 16:43:18,Plymouth,5+,Between 3 miles and 5 miles,3-4 times per week,"Walmart, Costco, Martin's, Kroger, Meijer",No,Poor wine selection,"Join wine clubs, ship to home; or go to Costco, which is 45 minutes away.",National grocery chain,Between 3 miles and 5 miles,,,,,,,No,,5,"We buy a lot of produce.  If there was a better option, depending on pricing, it may win our business.",5,3,$751-$1000,"Alcoholic Beverages, Meat, Produce"
1/24/2023 14:13:07,St. James Missouri,3,Less than 3 miles,1-2 times per week,"Dollar General/Dollar Tree, Walmart, Local grocery store",Yes,More fruit and veggies,more produce and fruit available,Local grocery store,Less than 3 miles,3,5,3,4,3,friendlier staff,,,,,,,$0-$250,"Bread/bakery, Canned food, Produce"
2/2/2023 13:28:05,Plymouth,5+,Between 3 miles and 5 miles,1-2 times per week,"Walmart, Martin's, Kroger",Maybe,I am not sure,,National chain and local farmer,Between 3 miles and 5 miles,,,,,,,,,,,,,$251-$500,"Dairy, Frozen foods, Produce"
2/2/2023 14:29:52,Monon,1,Between 10 and 15 miles,1-2 times per week,"Walmart, Kroger",No,Fresh food,Larger grocery store,National grocery chain,Between 10 and 15 miles,,,,,,,Yes,No idea,5,time savings,5,3,$251-$500,"Dairy, Meat, Produce"
2/2/2023 14:42:21,"Ligonier, Indiana",5+,Between 3 miles and 5 miles,1-2 times per week,"Dollar General/Dollar Tree, Walmart, Kroger, Aldi",Yes,Lower prices,Not sure it is possible.  It is more expensive to do business in a small town where the products do not turn-over on the shelves as often as a larger municipality.  ,National grocery chain,Between 10 and 15 miles,2,5,1,4,1,"It is convenient, and that comes at a cost.",,,,,,,$751-$1000,"Frozen foods, Meat, Produce"
2/2/2023 16:26:01,Walkerton ,1,Less than 3 miles,1-2 times per week,"Dollar General/Dollar Tree, Walmart, Martin's, Kroger",No,A grocery store of full service ,,National grocery chain,Between 15 and 20 miles,,,,,,,Yes,No idea,5,I would go there,5,5,$0-$250,"Dairy, Meat, Produce"
2/2/2023 17:18:55,"Orland, IN",2,Less than 3 miles,1-2 times per week,"Dollar General/Dollar Tree, Martin's, Kroger",Yes,Bigger variety of produce and bigger store ,Kroger ,National grocery chain,Between 15 and 20 miles,2,4,2,4,1,,,,,,,,$501-$750,"Dairy, Alcoholic Beverages, Meat"
2/2/2023 17:35:33,North Judson,1,Between 3 miles and 5 miles,1-2 times per week,"Dollar General/Dollar Tree, Kroger, Meijer, Local grocery store",Yes,Not enough fresh produce and dairy ,National grocery chain,National grocery chain,More than 20 miles,3,4,3,5,1,,,,,,,,$251-$500,"Dairy, Meat, Produce"
2/2/2023 17:51:22,Burlington,1,Between 3 miles and 5 miles,3-4 times per week,"Dollar General/Dollar Tree, Walmart, Kroger",No,More fresh high quality food,Independent grocery store in town ,National grocery chain,Between 15 and 20 miles,,,,,,,Maybe,No idea,3,No need to drive ,5,1,$501-$750,"Frozen foods, Meat, Produce"
2/2/2023 18:13:58,Lakeville ,1,Between 3 miles and 5 miles,1-2 times per week,"Dollar General/Dollar Tree, Walmart, Costco, Martin's, Kroger, Meijer",No,Stocked shelves ,More workers ,National grocery chain,Between 5 and 10 miles,,,,,,,No,No idea,1,Not much,5,2,$251-$500,"Bread/bakery, Canned food, Frozen foods"
2/3/2023 6:54:21,"Grovertown, Indiana",1,Between 15 and 20 miles,1-2 times per week,"Dollar General/Dollar Tree, Walmart, Costco, Martin's, Kroger, Meijer",No,We have no local grocery store. Would love fresh produce,"A grocery store in our area would be great. The nearest retailer is a Dollar General in Hamlet, Indiana, approximately 10 minutes from my house.","Direct from local farmer when possible. Otherwise, Kroger.",Between 15 and 20 miles,,,,,,,No,,5,I would have to travel less frequently. It would save time and money.,5,1,$251-$500,"Dairy, Meat, Produce"
2/3/2023 10:07:51,Walkerton,1,Between 5 and 10 miles,1-2 times per week,"Dollar General/Dollar Tree, Local grocery store",No,"Fresh produce, good meat department, more options",an actual local grocery store (not one 5-10 miles away),Local grocery store,Between 15 and 20 miles,,,,,,,Yes,No idea,5,It would eventually cost less with gas prices and having to drive at least 15 miles,5,1,$501-$750,"Bread/bakery, Dry/baking goods, Produce"
2/6/2023 8:59:34,Rome CIty,1,Between 3 miles and 5 miles,1-2 times per week,"Walmart, Kroger, Local grocery store, Aldi",Yes,Aldi or cheaper version of grocery,More options,Local grocery store,Between 3 miles and 5 miles,3,5,1,3,2,,,,,,,,$0-$250,"Bread/bakery, Dairy, Produce"
2/6/2023 12:58:57,"Leesburg, IN",1,Between 3 miles and 5 miles,1-2 times per week,"Kroger, Local grocery store, Aldi",No,affordable and high quality fresh produce,affordable accessible local produce,National grocery chain,Between 10 and 15 miles,,,,,,,Yes,"No idea, Aging family",5,efficient - saving of time (and transportation),5,1,$251-$500,"Bread/bakery, Frozen foods, Produce"
2/6/2023 14:54:11,South Bend,5+,Less than 3 miles,1-2 times per week,"Costco, Martin's",Yes,nothing,"your solution would have to be for the elderly i think.  I grew up small town.  Driving 10 miles or so for groceries wasn't necessary for us but was for some.  Gardening perhaps even sustainable farming information would be great for people with land.  You talked about the issue, but for whom?  ",National grocery chain,Less than 3 miles,3,4,3,4,2,no,,,,,,,$251-$500,"Meat, Produce"
2/6/2023 16:12:45,Wanatah,1,Between 5 and 10 miles,1-2 times per week,"Dollar General/Dollar Tree, Costco, Meijer, Local grocery store",No,Organization/products on shelves,Someone to keep the shelves stocked and organized,National grocery chain,Between 10 and 15 miles,,,,,,,No,"Had no store in our town for many years, I guess couldn't compete with the big box stores",5,would use very often,5,3,$251-$500,"Dairy, Frozen foods, Produce"
